"sipno","sira","musteri","kumas","parkumno","arge_yabby","datalogged","zone_check","latitude","longitude"
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 14:24:49.000,-1,38.6183515,27.3656359
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 14:09:59.000,4,38.6182371,27.3655416
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 13:43:18.000,4,38.6182943,27.3656055
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 13:28:14.000,4,38.6183313,27.36564
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 13:13:04.000,4,38.6182549,27.3655977
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 12:54:16.000,2,38.6183572,27.365437
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 12:39:12.000,4,38.618229,27.3655123
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 12:24:07.000,4,38.6182171,27.365508
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 12:09:08.000,4,38.6182425,27.3656049
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 11:54:20.000,4,38.6182704,27.3656243
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 11:39:15.000,1,38.6184659,27.3657786
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 11:01:24.000,-1,38.618368,27.3657249
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 10:00:53.000,4,38.6183182,27.3657063
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 09:45:53.000,4,38.6182776,27.3656622
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 09:30:58.000,2,38.618474,27.3656985
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 08:45:58.000,4,38.6183158,27.3656965
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 08:30:44.000,1,38.6184402,27.3657697
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 08:08:20.000,2,38.6183952,27.365694
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 07:07:57.000,4,38.6183013,27.3656961
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 06:07:28.000,4,38.6183627,27.3657582
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 04:06:32.000,-1,38.618384,27.365737
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 03:06:00.000,-1,38.6184003,27.3657493
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 02:05:30.000,-1,38.6184045,27.3657525
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 01:05:00.000,4,38.6182971,27.3656843
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 00:50:04.000,4,38.61831,27.3656721
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-16 00:34:50.000,-1,38.618371,27.365704
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 23:49:22.000,1,38.6184918,27.3657518
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 23:34:30.000,1,38.6185295,27.3657553
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 23:19:30.000,4,38.6183437,27.3656854
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 22:59:04.000,4,38.6183487,27.3657036
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 21:58:34.000,4,38.6183488,27.365704
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 21:43:34.000,-1,38.6183799,27.3657339
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 21:29:49.000,4,38.618319,27.36571
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 20:48:38.000,4,38.6183534,27.3657213
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 20:33:41.000,4,38.618321,27.3657185
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 20:18:51.000,4,38.6183142,27.3656898
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 20:01:51.000,4,38.618291,27.3656669
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 19:46:49.000,4,38.6183137,27.3656877
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 19:31:44.000,2,38.6185364,27.365707
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 19:16:41.000,-1,38.6186426,27.3651873
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 19:09:09.000,2,38.6186722,27.3654068
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 18:08:41.000,2,38.6187132,27.3652936
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 17:08:12.000,2,38.618671,27.3654073
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 16:53:12.000,2,38.6187202,27.3653206
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 16:38:03.000,2,38.6187139,27.3652963
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 16:08:19.000,2,38.6187115,27.3653908
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 15:55:48.000,2,38.6186989,27.3652361
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 15:40:55.000,-1,38.6186961,27.3651679
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 15:27:57.000,4,38.6182059,27.3655617
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 15:13:00.000,4,38.6181889,27.3655204
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 14:58:05.000,4,38.6181903,27.365587
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 14:43:07.000,4,38.6181838,27.3656009
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 14:27:55.000,4,38.6181882,27.3655914
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 14:12:54.000,4,38.6182386,27.3655826
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 13:57:50.000,4,38.6182973,27.3656847
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 13:27:34.000,4,38.6182278,27.3656379
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 12:27:05.000,4,38.6183165,27.3656995
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 11:26:34.000,4,38.618234,27.3655702
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 11:11:43.000,4,38.618242,27.3655592
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 10:56:41.000,4,38.6182519,27.3655802
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 10:40:00.000,4,38.6182159,27.3655681
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 10:25:12.000,4,38.6182727,27.3656282
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 09:35:09.000,4,38.6182202,27.3655535
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 09:21:26.000,4,38.6182266,27.3655612
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 09:06:26.000,-1,38.6183453,27.3655401
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 08:53:55.000,4,38.6181902,27.3655516
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 08:38:51.000,4,38.6182561,27.3655511
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 08:23:41.000,4,38.6182621,27.3656101
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 08:10:11.000,4,38.6183066,27.3656575
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 07:13:06.000,4,38.6182275,27.3655068
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 06:12:35.000,4,38.6182363,27.3656189
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 05:57:33.000,4,38.6182883,27.3656233
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 05:42:25.000,4,38.6183385,27.3656667
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 05:27:28.000,4,38.6182761,27.3656652
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 04:59:14.000,4,38.618241,27.3656084
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 04:44:08.000,4,38.6182561,27.3655513
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 04:28:53.000,4,38.6182346,27.3655709
362032,1,TALU,LAKOST 44/2 P 1*1 %50 ORG-%50 BCI IND CFF,969201,15,2023-06-15 03:41:35.000,4,38.6182637,27.3656128
