"sipno","sira","musteri","kumas","parkumno","arge_yabby","datalogged","zone_check","latitude","longitude"
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 14:16:40.000,1,38.6186197,27.3656894
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 14:08:26.000,2,38.6186322,27.3656247
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 13:53:14.000,2,38.6185467,27.3656869
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 13:38:22.000,2,38.6187162,27.3654787
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 13:31:05.000,-1,38.6187372,27.3653913
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 13:16:18.000,2,38.6186061,27.3653348
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 13:04:07.000,2,38.6186716,27.3655029
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 12:52:57.000,2,38.6186916,27.3652997
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 12:38:10.000,2,38.6186873,27.3653015
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 12:24:30.000,2,38.6187005,27.3652427
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 12:09:36.000,-1,38.6186593,27.3652068
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 11:54:47.000,2,38.618705,27.3652605
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 11:17:59.000,4,38.6181881,27.3655916
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 11:02:51.000,4,38.618239,27.3656127
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 10:48:05.000,4,38.6182719,27.3656268
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 10:33:07.000,4,38.6181329,27.3655779
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 10:17:55.000,4,38.6181832,27.3656022
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 09:35:49.000,4,38.618289,27.3656613
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 09:20:55.000,4,38.6182369,27.3656174
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 09:05:52.000,4,38.618183,27.3656025
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 08:47:41.000,2,38.618536,27.3653636
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 08:16:26.000,-1,38.6185089,27.3652014
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 07:15:55.000,2,38.6184647,27.3654914
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 07:00:53.000,2,38.6186426,27.3653198
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 06:55:58.000,2,38.6186386,27.3654205
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 05:55:27.000,2,38.618585,27.3653435
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 04:54:56.000,2,38.6185397,27.3656343
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 03:54:28.000,2,38.6186048,27.3653354
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 02:53:57.000,2,38.6186383,27.3654207
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 01:53:34.000,2,38.618523,27.3655655
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-16 00:53:09.000,2,38.6185305,27.3654646
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 23:52:42.000,2,38.6186751,27.3654057
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 22:52:14.000,2,38.6184955,27.3655768
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 22:39:47.000,-1,38.6183612,27.365331
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 22:24:56.000,4,38.6182034,27.3655145
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 22:13:38.000,4,38.6182289,27.3655764
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 21:25:55.000,2,38.6184035,27.3656906
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 19:25:03.000,2,38.6184854,27.365581
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 18:24:33.000,2,38.6183779,27.3656251
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 17:24:09.000,2,38.6184046,27.3656901
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 16:23:43.000,2,38.6183999,27.365616
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 16:08:51.000,4,38.6183142,27.3656898
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 15:53:47.000,2,38.6184291,27.36568
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 15:38:42.000,4,38.6182314,27.3656298
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 15:23:46.000,4,38.6181883,27.3655912
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 15:08:51.000,2,38.6185352,27.3656362
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 15:07:09.000,4,38.61824,27.3656106
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 14:06:44.000,2,38.6183608,27.3655338
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 13:06:21.000,4,38.6182808,27.3655487
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 12:05:51.000,2,38.6185199,27.3656425
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 11:05:22.000,2,38.618596,27.3655356
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 10:54:08.000,4,38.618334,27.3656504
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 10:39:09.000,2,38.6185452,27.3655564
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 10:24:17.000,4,38.6182531,27.3655946
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 10:04:49.000,4,38.6182258,27.3656423
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 09:04:20.000,4,38.6182309,27.3656309
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 08:03:48.000,4,38.6182165,27.3655685
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 07:03:20.000,4,38.6182694,27.3656784
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 06:02:50.000,4,38.6182268,27.365575
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 05:02:22.000,4,38.6182763,27.3656344
360530,1,JDA,SÜPREM 60/2 VİSKON FULL LYC GAZE,964230,18,2023-06-15 04:01:54.000,4,38.6182958,27.3656806
