"sipno","sira","musteri","kumas","parkumno","arge_yabby","datalogged","zone_check","latitude","longitude"
361414,1,UNITEKS IST,RİBANA 30/1 PAM-MODAL RAPORLU LYC,967145,15,2023-06-15 02:41:10.000,4,38.618326,27.3656175
361414,1,UNITEKS IST,RİBANA 30/1 PAM-MODAL RAPORLU LYC,967145,15,2023-06-15 01:40:39.000,4,38.6182345,27.36558
361414,1,UNITEKS IST,RİBANA 30/1 PAM-MODAL RAPORLU LYC,967145,15,2023-06-15 00:40:10.000,4,38.6182349,27.365622
361414,1,UNITEKS IST,RİBANA 30/1 PAM-MODAL RAPORLU LYC,967145,15,2023-06-14 23:39:40.000,4,38.6182658,27.3656164
361414,1,UNITEKS IST,RİBANA 30/1 PAM-MODAL RAPORLU LYC,967145,15,2023-06-14 22:39:10.000,4,38.6182307,27.3656314
361414,1,UNITEKS IST,RİBANA 30/1 PAM-MODAL RAPORLU LYC,967145,15,2023-06-14 22:24:08.000,4,38.6182507,27.3655888
361414,1,UNITEKS IST,RİBANA 30/1 PAM-MODAL RAPORLU LYC,967145,15,2023-06-14 22:09:01.000,4,38.61823,27.3655654
361414,1,UNITEKS IST,RİBANA 30/1 PAM-MODAL RAPORLU LYC,967145,15,2023-06-14 21:35:48.000,4,38.6183343,27.3656429
361414,1,UNITEKS IST,RİBANA 30/1 PAM-MODAL RAPORLU LYC,967145,15,2023-06-14 20:35:17.000,4,38.6182687,27.3656213
361414,1,UNITEKS IST,RİBANA 30/1 PAM-MODAL RAPORLU LYC,967145,15,2023-06-14 19:34:57.000,4,38.6183235,27.3656067
361414,1,UNITEKS IST,RİBANA 30/1 PAM-MODAL RAPORLU LYC,967145,15,2023-06-14 18:34:30.000,4,38.6182369,27.3656174
361414,1,UNITEKS IST,RİBANA 30/1 PAM-MODAL RAPORLU LYC,967145,15,2023-06-14 17:34:11.000,4,38.6182491,27.3655893
361414,1,UNITEKS IST,RİBANA 30/1 PAM-MODAL RAPORLU LYC,967145,15,2023-06-14 16:33:43.000,4,38.6183079,27.3656629
361414,1,UNITEKS IST,RİBANA 30/1 PAM-MODAL RAPORLU LYC,967145,15,2023-06-14 16:18:41.000,-1,38.6183472,27.3656377
