"sipno","sira","musteri","kumas","parkumno","arge_yabby","datalogged","zone_check","latitude","longitude"
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-16 13:30:19.000,2,38.6187191,27.3653165
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-16 11:53:05.000,2,38.618719,27.3653878
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-16 10:40:40.000,4,38.6181695,27.3655384
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-16 08:42:59.000,4,38.6181837,27.365601
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-16 06:20:43.000,4,38.6181958,27.3655753
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-16 06:05:23.000,4,38.6182389,27.365613
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-16 03:06:55.000,4,38.6182932,27.3656009
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-16 02:22:08.000,4,38.61833,27.3656345
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-16 01:21:49.000,4,38.6183419,27.365679
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-15 18:12:00.000,4,38.6183536,27.3657223
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-15 16:33:17.000,1,38.6184167,27.3657617
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-15 14:07:22.000,-1,38.6183646,27.3657066
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-15 13:18:44.000,1,38.6185311,27.3657547
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-15 12:25:53.000,4,38.6182815,27.3656544
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-15 11:25:27.000,4,38.6183164,27.3656988
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-15 10:25:03.000,2,38.6185632,27.3656546
361187,1,FIORUCCI,SÜPREM 30/1 PAM-PES FLAM RİNGEL,969692,16,2023-06-15 09:24:42.000,2,38.6187293,27.3653562
